"","site","month","grass_PC1","grass_PC_tm1","browser_100m2","patty_100m2","PD_1m2","browser_minusLastMo","patty_minusLastMo","PD_minusLastMo","browser_lastMo","patty_lastMo","PD_lastMo","wing.mean","wing.se","thorax.mean","thorax.se","head.mean","head.se","forearm.mean","forearm.se","body.mean","body.se","trt","spp","trtbison","trtcattle","trttrtpd","trtungrazed","trtuntrtpd","Temp48hr","Temp20day","Temp60day"
"47","cattle_3",7,-0.08125239, 1.08147965,0.000, 1.250,NA, 0.000, 0.125,NA,0.000, 1.125,NA,3.01615385,0.04201859,2.91115385,0.05209851,1.67461538,0.02479597,1.72038462,0.04317222, 7.60192308, 0.10985728,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,26.30592,24.69071,NA
"48","cattle_3",7,-0.08125239, 1.08147965,0.000, 1.250,NA, 0.000, 0.125,NA,0.000, 1.125,NA,7.26675000,0.09979234,5.08775000,0.08460048,3.89325000,0.06359567,3.91825000,0.07833679,16.24775000, 0.24405955,"cattle","Canthon_pilularius",0,1,0,0,0,26.30592,24.69071,NA
"49","cattle_3",8,-1.07101833,-0.08125239,0.000, 0.375,NA, 0.000,-0.875,NA,0.000, 1.250,NA,7.34600000,0.07122176,5.26275000,0.06528339,3.91600000,0.04231112,4.16425000,0.06317547,16.52475000, 0.16984910,"cattle","Canthon_pilularius",0,1,0,0,0,28.40092,27.77684,24.89985
"50","cattle_3",8,-1.07101833,-0.08125239,0.000, 0.375,NA, 0.000,-0.875,NA,0.000, 1.250,NA,3.35250000,0.06477296,3.08250000,0.11913003,1.83500000,0.09300538,1.91125000,0.07756190, 8.27000000, 0.26026086,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,28.40092,27.77684,24.89985
"51","cattle_3",8,-1.07101833,-0.08125239,0.000, 0.375,NA, 0.000,-0.875,NA,0.000, 1.250,NA,3.61666667,0.18657736,3.24666667,0.17854349,2.14000000,0.15716234,1.88666667,0.05364492, 9.00333333, 0.46369291,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,28.40092,27.77684,24.89985
"52","trtpd_1",6,NA,NA,0.000, 5.750, 11.125,NA,NA,NA,NA,NA,NA,3.10400000,0.13132403,3.04800000,0.11972468,1.92600000,0.17107308,1.91800000,0.13135448, 8.07800000, 0.38621756,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,13.70925,NA,NA
"53","trtpd_1",6,NA,NA,0.000, 5.750, 11.125,NA,NA,NA,NA,NA,NA,3.86272727,0.30040606,3.14818182,0.18467080,2.18454545,0.15070358,2.63000000,0.10739900, 9.19545455, 0.60547106,"trtpd","Canthon_pilularius",0,0,1,0,0,13.70925,NA,NA
"54","trtpd_1",6,NA,NA,0.000, 5.750, 11.125,NA,NA,NA,NA,NA,NA,3.27875000,0.07092344,3.10125000,0.10578681,1.88250000,0.10811287,1.89250000,0.05630751, 8.26250000, 0.22709933,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,13.70925,NA,NA
"55","trtpd_1",7,NA,NA,0.000, 4.250,  6.375, 0.000,-1.500, -4.750,0.000, 5.750, 11.125,4.54600000,0.68302709,3.58200000,0.58118328,2.54200000,0.37015402,3.08400000,0.40606157,10.67000000, 1.61277401,"trtpd","Canthon_pilularius",0,0,1,0,0,23.43142,24.70198,NA
"56","trtpd_1",7,NA,NA,0.000, 4.250,  6.375, 0.000,-1.500, -4.750,0.000, 5.750, 11.125,3.20500000,0.06434139,3.07000000,0.06602469,1.81285714,0.04480663,1.87321429,0.05168856, 8.08785714, 0.14894813,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,23.43142,24.70198,NA
