"","code_spp","CanPil_ActDens_est","CanPil_ActDens_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month"
"62","ungrazed ungrazed3_2 7",0.479128243563983,0.601208732568681,-0.39869289751822,1.4676379817468,-0.196907978822726,1.17530663798658,0.0860382471002906,0.878155473673731,"ungrazed","ungrazed3_2",7
"63","ungrazed ungrazed3_2 8",1.81798053517382,0.945932040648082,0.274988406003895,3.38154733993464,0.680248092031386,2.9223875550386,1.10848960961618,2.54010494805086,"ungrazed","ungrazed3_2",8
"64","untrtpd untrtpd1 6",-5.53473429246249e-07,6.60637077503702e-05,-2.97449864066956e-05,3.66980828435889e-05,-4.96911344480049e-06,1.37259766305588e-05,-4.96911344480049e-06,2.17070226605982e-06,"untrtpd","untrtpd1",6
"65","untrtpd untrtpd1 7",7.06296236497613e-07,5.14040978574974e-05,-2.42824177835331e-05,2.38942316848768e-05,-6.9120600669525e-06,7.72843324743238e-06,-2.10099943105571e-06,2.63998458332936e-06,"untrtpd","untrtpd1",7
"66","untrtpd untrtpd1 8",0.519589376932738,0.714051238520471,-0.54967182430903,1.62606755334894,-0.250983068523847,1.26176539497344,0.0854934566733653,0.937730841865693,"untrtpd","untrtpd1",8
"67","untrtpd untrtpd2 6",46.9330843511376,3.96180414145067,40.0363164193927,53.392450010238,42.0943432585996,51.5397564591002,44.0555487848593,49.8313280883481,"untrtpd","untrtpd2",6
"68","untrtpd untrtpd2 7",55.7326176377831,4.07964363625305,48.9480008827118,62.5438431451733,50.7465297836124,60.8206692846392,52.686787300363,58.4838925662072,"untrtpd","untrtpd2",7
"69","untrtpd untrtpd2 8",190.566287338981,57.169401686853,90.5968667106877,282.984313069506,121.445912263624,257.398498111143,149.048420542613,231.690220837938,"untrtpd","untrtpd2",8
"70","untrtpd untrtpd3 6",114.816538569592,35.935625879351,55.9600476577314,172.038051004658,72.2578751743088,158.710459597037,88.1903335503875,142.750108474659,"untrtpd","untrtpd3",6
"71","untrtpd untrtpd3 7",112.664341208556,29.3948880218686,67.4778376419344,159.310910137022,78.9132435250452,147.491074983776,91.7588336623351,133.915956665332,"untrtpd","untrtpd3",7
"72","untrtpd untrtpd3 8",53.4588987116984,13.8567231239937,31.1151887478923,75.6975509063084,36.8243333324133,70.2093292144051,42.6699564611752,64.372601743108,"untrtpd","untrtpd3",8
