code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
bison_1-7,bison,bison_1,2022,7,4,4,0,2,0,0,2,NA,0,0,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,5,0,3,0,0,0,NA,0,3,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,6,0,2,0,0,0,NA,0,2,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,7,0,6,0,-1,1,NA,1,5,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,8,0,8,0,0,5,NA,0,3,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,1,1,21,0,0,-2,NA,1,23,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,2,2,27,0,1,-2,NA,1,29,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,3,0,18,0,-1,0,NA,1,18,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,4,1,21,0,0,0,NA,1,21,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,5,0,15,0,0,-5,NA,0,20,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,6,0,32,0,-1,1,NA,1,31,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,7,0,41,0,0,5,NA,0,36,0,NA,NA,NA
bison_2-7,bison,bison_2,2022,7,8,8,0,33,0,0,-9,NA,0,42,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,1,0,8,0,0,-3,NA,0,11,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,2,0,11,0,0,1,NA,0,10,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,3,0,16,0,0,-2,NA,0,18,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,4,0,19,0,0,6,NA,0,13,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,5,0,19,0,0,5,NA,0,14,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,6,0,9,0,-1,-5,NA,1,14,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,7,1,6,0,0,0,NA,1,6,0,NA,NA,NA
bison_3-7,bison,bison_3,2022,7,5,8,1,3,0,0,2,NA,1,1,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,1,2,13,0,0,-5,NA,2,18,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,2,2,11,0,-2,-5,NA,4,16,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,3,7,6,0,-1,-2,NA,8,8,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,4,10,9,0,-2,-5,NA,12,14,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,5,7,9,0,-2,-6,NA,9,15,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,6,8,0,0,-5,-3,NA,13,3,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,7,9,9,0,-2,-2,NA,11,11,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,8,11,4,0,1,-1,NA,10,5,0,NA,NA,NA
